,symbol,description,currency,fxRateToBase,amount,settleDate,per_share,shares,usd_div
36,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.058403 PER SHARE (Return of Capital),MXN,0.051311,26.28,2022-12-30,0.058403,450,1.34845308
38,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.02503 PER SHARE (Ordinary Dividend),MXN,0.051529,11.27,2022-12-30,0.02503,450,0.58073183
39,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.085256 PER SHARE (Ordinary Dividend),MXN,0.053753,38.36,2023-01-31,0.085256,450,2.0619650800000002
40,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.138411 PER SHARE (Return of Capital),MXN,0.054442,124.57,2023-02-24,0.138411,900,6.781839939999999
41,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.170511 PER SHARE (Ordinary Dividend),MXN,0.054442,153.46,2023-02-24,0.170511,900,8.35466932
42,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.032099 PER SHARE (Ordinary Dividend),MXN,0.054442,28.89,2023-02-24,0.032099,900,1.57282938
43,DANHOS13,DANHOS13(MXCFDA020005) CASH DIVIDEND MXN 0.245729 PER SHARE (Return of Capital),MXN,0.05446,36.86,2023-03-08,0.245729,150,2.0073956
44,DANHOS13,DANHOS13(MXCFDA020005) CASH DIVIDEND MXN 0.374271 PER SHARE (Ordinary Dividend),MXN,0.05446,56.14,2023-03-08,0.374271,150,3.0573844
45,FIBRAMQ12,FIBRAMQ12(MXCFFI0U0002) CASH DIVIDEND MXN 0.87882425 PER SHARE (Bonus Dividend),MXN,0.052868,131.83,2023-03-10,0.87882425,150,6.969588440000001
46,FMTY14,FMTY14(MXCFFM010000) CASH DIVIDEND MXN 0.085 PER SHARE (Return of Capital),MXN,0.055498,76.5,2023-03-31,0.085,900,4.245597
47,DANHOS13,DANHOS13(MXCFDA020005) CASH DIVIDEND MXN 0.359473 PER SHARE (Ordinary Dividend),MXN,0.056884,53.92,2023-05-10,0.359473,150,3.06718528
48,DANHOS13,DANHOS13(MXCFDA020005) CASH DIVIDEND MXN 0.240527 PER SHARE (Return of Capital),MXN,0.056884,36.08,2023-05-10,0.240527,150,2.05237472
60,MDLZ,MDLZ(US6092071058) CASH DIVIDEND USD 0.385 PER SHARE (Ordinary Dividend),USD,1,0.39,2023-01-13,0.385,1,0.39
62,SBRA,SBRA(US78573L1061) CASH DIVIDEND USD 0.30 PER SHARE (Ordinary Dividend),USD,1,2.1,2023-02-28,0.3,7,2.1
63,PFE,PFE(US7170811035) CASH DIVIDEND USD 0.41 PER SHARE (Ordinary Dividend),USD,1,0.41,2023-03-03,0.41,1,0.41
64,O,O(US7561091049) CASH DIVIDEND USD 0.2545 PER SHARE (Ordinary Dividend),USD,1,0.51,2023-03-15,0.2545,2,0.51
65,KO,KO(US1912161007) CASH DIVIDEND USD 0.46 PER SHARE (Ordinary Dividend),USD,1,0.92,2023-04-03,0.46,2,0.92
66,LEG,LEG(US5246601075) CASH DIVIDEND USD 0.44 PER SHARE (Ordinary Dividend),USD,1,1.32,2023-04-14,0.44,3,1.32
67,O,O(US7561091049) CASH DIVIDEND USD 0.255 PER SHARE (Ordinary Dividend),USD,1,0.51,2023-04-14,0.255,2,0.51
68,STAG,STAG(US85254J1025) CASH DIVIDEND USD 0.1225 PER SHARE (Ordinary Dividend),USD,1,0.37,2023-04-17,0.1225,3,0.37
69,VZ,VZ(US92343V1044) CASH DIVIDEND USD 0.6525 PER SHARE (Ordinary Dividend),USD,1,1.96,2023-05-01,0.6525,3,1.96
70,O,O(US7561091049) CASH DIVIDEND USD 0.255 PER SHARE (Ordinary Dividend),USD,1,1.02,2023-05-15,0.255,4,1.02
71,STAG,STAG(US85254J1025) CASH DIVIDEND USD 0.1225 PER SHARE (Ordinary Dividend),USD,1,0.37,2023-05-15,0.1225,3,0.37
82,,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS,USD,1,800.0,2022-12-22,0.0,0,800.0
84,,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS,USD,1,1100.0,2023-01-31,0.0,0,1100.0
85,,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS,USD,1,1760.0,2023-03-10,0.0,0,1760.0
86,,CASH RECEIPTS / ELECTRONIC FUND TRANSFERS,USD,1,2100.0,2023-04-18,0.0,0,2100.0
